"source_id","captured_at","original_collection_id","suggested_collection_id","suggested_collection_name","proposed_action","content_evidence","confidence","requires_owner_confirmation","source_url"
"410946d3-9099-4628-8eea-894cff883b16","2026-06-03 07:48:07.120276+00","","0dbf7c12-48f1-4d69-995f-4908be7ba4a9","副業","keep_inbox_low_confidence_candidate","content mentions monetization or a side business","low","true","https://www.threads.net/@opiumx1629/post/DZF1HzuEyNr?xmt=AQG0jZ_ySc6BL1VPPplHKAI9IrbHqt-dvOaI6ls5ok1AALu_lg-jtY4DSEi0PdHW39MEOsv1Pg&slof=1"
"6a63e6d8-5465-43af-a3eb-b60517827695","2026-06-04 03:20:44.600084+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/@zaofeng1104/post/DZHQGgNkcGr?xmt=AQG0xQXmiNS028EmJpepPaDmeQU3R7684orUsdNS2bKvW-Cx2esdF87DzcIvKVJJFb1YXJNR&slof=1"
"e751402e-da7e-4328-9803-ffc357b1fe2d","2026-06-09 17:58:13.24932+00","","6cbc331a-060a-4b1b-96ef-8ea440315316","教學","owner_review_move_to_existing_collection","content mentions learning or instruction","medium","true","https://www.threads.net/@aitech___study/post/DZXMLpcnR82?xmt=AQG06qFp2YM61xhlInHjnFjgAK8pnIfAp4hkrJkkPu6vzI7DYhW5Jiqnms9Hc3D3zhFK_QqPyQ&slof=1"
"a528e615-0cc4-456e-9bff-988e7e22f186","2026-06-13 03:41:10.028278+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","owner_review_move_to_existing_collection","content mentions software engineering","medium","true","https://www.threads.net/@peter_career_hack/post/DZe3mPLCClF?xmt=AQG0kQOkO_a1Sq05dPy1gTNj4yQFd9RX8fnmSMg9oafp2q9m0010rvMhdMzwqtgQ9cK-i5my"
"39962c0f-9b75-476a-ae2e-1ca53be4f6f4","2026-06-15 23:33:51.324223+00","","57d4a857-193c-40d6-9779-bcc3b617bbfe","投資","owner_review_move_to_existing_collection","content mentions market or investment analysis","high","true","https://www.threads.net/@rayray_9601/post/DZme923j6dm?xmt=AQG09waNIyx2F_UsVktskYjOvXJOL8-G_ScT3xPc7qZ0wR4C9skWbiLrr8_TUBmSqpKOz79Ekg&slof=1"
"fff82574-462a-4372-a5e6-ed88e2b7c4ef","2026-06-16 12:37:15.438234+00","","6cbc331a-060a-4b1b-96ef-8ea440315316","教學","keep_inbox_low_confidence_candidate","content mentions learning or instruction","low","true","https://x.com/i/status/2066811881764086240"
"6f6da618-9539-4b0f-b047-a5365f339612","2026-06-17 04:41:02.526042+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","keep_inbox_low_confidence_candidate","content mentions software engineering","low","true","https://www.threads.net/@sheepbeans.games/post/DZoquO3E4aO?xmt=AQG0SY0a_WA3ZGfuaDJDfUWiTy-huN5_TBmsl_CbbaRWxitLlz0QcJh2HyWPaSWbF7ndHT-Ixg&slof=1"
"831d94ac-d601-4095-a971-59260a45f604","2026-06-20 07:48:43.319221+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/@pmorz.r/post/DZxeE8Xkjkw?xmt=AQG0gDeywu-DMuAVo-Mjz6PTG0NjOQyGEWAihhc7yTkTFt5Urenyp7W6TORjJuQWO5WUQTj7&slof=1"
"48c28825-b4e8-4227-aeb0-bcb4b8b31673","2026-06-20 15:47:37.071218+00","","41cb8bc2-4c62-4ea8-a1bc-7314549bf2ce","ai漫劇","owner_review_move_to_existing_collection","content mentions comic, storyboard, or H3 production","medium","true","https://www.threads.net/@gonsakon/post/DZztUonj_1Q?xmt=AQG0BwQ0tFhUr5bP-FxvohqW0PptErqw5N5g1ulQNBAkezntLEw96a7yP1FVKwEOweICwiFrow&slof=1"
"f9c2b22b-ac98-4eec-9cdd-e0df114c09b6","2026-06-21 04:48:17.940225+00","","57d4a857-193c-40d6-9779-bcc3b617bbfe","投資","owner_review_move_to_existing_collection","content mentions market or investment analysis","high","true","https://www.threads.net/@the_crazy_money45/post/DZ1V1gAihlz?xmt=AQG0_2l-6dXVhHaYtiOe-eE_-P4pj0qh05JHeRuXAXFIEW0tR8ZrS2j0CAuNrlMOs36PtI2LCw&slof=1"
